{epoch: 1605184459155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184460800, value: {x : 0.026, y : -0.029, z : 0.965}}
{epoch: 1605184460811, value: {x : 0.026, y : -0.029, z : 0.963}}
{epoch: 1605184460821, value: {x : 0.024, y : -0.029, z : 0.958}}
{epoch: 1605184460831, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184460840, value: {x : 0.024, y : -0.032, z : 0.963}}
{epoch: 1605184460850, value: {x : 0.024, y : -0.031, z : 0.964}}
{epoch: 1605184460860, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184460871, value: {x : 0.027, y : -0.032, z : 0.958}}
{epoch: 1605184460879, value: {x : 0.025, y : -0.033, z : 0.961}}
{epoch: 1605184460890, value: {x : 0.024, y : -0.033, z : 0.965}}
{epoch: 1605184460900, value: {x : 0.026, y : -0.034, z : 0.963}}
{epoch: 1605184460910, value: {x : 0.023, y : -0.032, z : 0.961}}
{epoch: 1605184460919, value: {x : 0.024, y : -0.031, z : 0.959}}
{epoch: 1605184460929, value: {x : 0.024, y : -0.032, z : 0.960}}
{epoch: 1605184460940, value: {x : 0.025, y : -0.032, z : 0.963}}
{epoch: 1605184460950, value: {x : 0.024, y : -0.033, z : 0.964}}
{epoch: 1605184460959, value: {x : 0.025, y : -0.030, z : 0.962}}
{epoch: 1605184460969, value: {x : 0.025, y : -0.030, z : 0.962}}
{epoch: 1605184460979, value: {x : 0.026, y : -0.033, z : 0.962}}
{epoch: 1605184460988, value: {x : 0.026, y : -0.032, z : 0.964}}
{epoch: 1605184460998, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184461008, value: {x : 0.026, y : -0.033, z : 0.963}}
{epoch: 1605184461019, value: {x : 0.026, y : -0.031, z : 0.960}}
{epoch: 1605184461027, value: {x : 0.027, y : -0.031, z : 0.961}}
{epoch: 1605184461038, value: {x : 0.026, y : -0.032, z : 0.960}}
{epoch: 1605184461048, value: {x : 0.024, y : -0.031, z : 0.960}}
{epoch: 1605184461058, value: {x : 0.026, y : -0.031, z : 0.961}}
{epoch: 1605184461067, value: {x : 0.024, y : -0.032, z : 0.960}}
{epoch: 1605184461077, value: {x : 0.025, y : -0.032, z : 0.961}}
{epoch: 1605184461087, value: {x : 0.027, y : -0.032, z : 0.962}}
{epoch: 1605184461098, value: {x : 0.024, y : -0.033, z : 0.963}}
{epoch: 1605184461107, value: {x : 0.024, y : -0.031, z : 0.962}}
{epoch: 1605184461117, value: {x : 0.023, y : -0.032, z : 0.961}}
{epoch: 1605184461127, value: {x : 0.025, y : -0.032, z : 0.963}}
{epoch: 1605184461137, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184461146, value: {x : 0.025, y : -0.034, z : 0.962}}
{epoch: 1605184461155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184461156, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184461167, value: {x : 0.025, y : -0.029, z : 0.960}}
{epoch: 1605184461177, value: {x : 0.024, y : -0.033, z : 0.960}}
{epoch: 1605184461186, value: {x : 0.026, y : -0.031, z : 0.961}}
{epoch: 1605184461196, value: {x : 0.027, y : -0.033, z : 0.961}}
{epoch: 1605184461206, value: {x : 0.025, y : -0.033, z : 0.959}}
{epoch: 1605184461215, value: {x : 0.024, y : -0.033, z : 0.960}}
{epoch: 1605184461225, value: {x : 0.024, y : -0.033, z : 0.962}}
{epoch: 1605184461235, value: {x : 0.026, y : -0.031, z : 0.965}}
{epoch: 1605184461246, value: {x : 0.027, y : -0.031, z : 0.961}}
{epoch: 1605184461254, value: {x : 0.026, y : -0.031, z : 0.958}}
{epoch: 1605184461265, value: {x : 0.026, y : -0.030, z : 0.957}}
{epoch: 1605184461275, value: {x : 0.026, y : -0.030, z : 0.964}}
{epoch: 1605184461285, value: {x : 0.025, y : -0.031, z : 0.964}}
{epoch: 1605184461294, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184461304, value: {x : 0.025, y : -0.034, z : 0.961}}
{epoch: 1605184461315, value: {x : 0.025, y : -0.032, z : 0.960}}
{epoch: 1605184461325, value: {x : 0.023, y : -0.029, z : 0.963}}
{epoch: 1605184461334, value: {x : 0.024, y : -0.032, z : 0.963}}
{epoch: 1605184461344, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184461354, value: {x : 0.025, y : -0.031, z : 0.960}}
{epoch: 1605184461364, value: {x : 0.025, y : -0.030, z : 0.961}}
{epoch: 1605184461373, value: {x : 0.026, y : -0.029, z : 0.966}}
{epoch: 1605184461383, value: {x : 0.027, y : -0.031, z : 0.961}}
{epoch: 1605184461394, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184461404, value: {x : 0.024, y : -0.032, z : 0.963}}
{epoch: 1605184461413, value: {x : 0.024, y : -0.031, z : 0.963}}
{epoch: 1605184461423, value: {x : 0.026, y : -0.030, z : 0.963}}
{epoch: 1605184461433, value: {x : 0.029, y : -0.031, z : 0.961}}
{epoch: 1605184461443, value: {x : 0.026, y : -0.032, z : 0.961}}
{epoch: 1605184461452, value: {x : 0.024, y : -0.033, z : 0.960}}
{epoch: 1605184461462, value: {x : 0.025, y : -0.032, z : 0.963}}
{epoch: 1605184461473, value: {x : 0.026, y : -0.032, z : 0.962}}
{epoch: 1605184461482, value: {x : 0.026, y : -0.031, z : 0.960}}
{epoch: 1605184461492, value: {x : 0.026, y : -0.032, z : 0.962}}
{epoch: 1605184461502, value: {x : 0.025, y : -0.034, z : 0.962}}
{epoch: 1605184461512, value: {x : 0.023, y : -0.032, z : 0.964}}
{epoch: 1605184461521, value: {x : 0.026, y : -0.030, z : 0.962}}
{epoch: 1605184461531, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184461542, value: {x : 0.023, y : -0.034, z : 0.960}}
{epoch: 1605184461552, value: {x : 0.041, y : -0.077, z : 0.961}}
{epoch: 1605184461561, value: {x : 0.031, y : -0.054, z : 0.965}}
{epoch: 1605184461571, value: {x : 0.029, y : -0.029, z : 0.964}}
{epoch: 1605184461581, value: {x : 0.027, y : -0.024, z : 0.959}}
{epoch: 1605184461591, value: {x : 0.032, y : -0.040, z : 0.957}}
{epoch: 1605184461600, value: {x : 0.000, y : 0.023, z : 0.966}}
{epoch: 1605184461610, value: {x : 0.027, y : -0.034, z : 0.964}}
{epoch: 1605184461621, value: {x : 0.029, y : -0.039, z : 0.963}}
